taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
4932234,Dactylis glomerata subsp. hispanica (Roth) Nyman,4932234,Dactylis glomerata subsp. hispanica (Roth) Nyman,103,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Dactylis,2705307.0,Dactylis glomerata,2705308.0,
2795869,Cephalanthera longifolia (L.) Fritsch,2795869,Cephalanthera longifolia (L.) Fritsch,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Orchidaceae,7689,Cephalanthera,2795844.0,Cephalanthera longifolia,2795869.0,Not Evaluated
3045178,Alyssum granatense Boiss. & Reut.,3045178,Alyssum granatense Boiss. & Reut.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Alyssum,3044728.0,Alyssum granatense,3045178.0,Not Evaluated
3899231,Ziziphora hispanica L.,3899231,Ziziphora hispanica L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Ziziphora,7308760.0,Ziziphora hispanica,3899231.0,Not Evaluated
5578470,Globularia alypum Delile,5578470,Globularia alypum Delile,1,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Globularia,3233698.0,Globularia alypum,5578470.0,Not Evaluated
5668144,"Armeria filicaulis subsp. nevadensis Nieto Fel., Rosselló & Fuertes",5668144,"Armeria filicaulis subsp. nevadensis Nieto Fel., Rosselló & Fuertes",6,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Plumbaginaceae,2419,Armeria,3082288.0,Armeria filicaulis,7298105.0,
8162318,"Ephedra distachya Forssk., 1775",8162318,"Ephedra distachya Forssk., 1775",1,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Gnetopsida,282,Ephedrales,424,Ephedraceae,3114,Ephedra,2653237.0,Ephedra distachya,8162318.0,Not Evaluated
3121319,Artemisia absinthium L.,3121319,Artemisia absinthium L.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Artemisia,3120641.0,Artemisia absinthium,3121319.0,Not Evaluated
3742445,Anarrhinum laxiflorum Boiss.,3742445,Anarrhinum laxiflorum Boiss.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Anarrhinum,7333412.0,Anarrhinum laxiflorum,3742445.0,Not Evaluated
10356062,Lathyrus L.,10356062,Lathyrus L.,6,GENUS,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Lathyrus,10356062.0,,,Not Evaluated
4033064,Rumex induratus Boiss. & Reut.,4033064,Rumex induratus Boiss. & Reut.,19,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Rumex,2888942.0,Rumex induratus,4033064.0,Not Evaluated
8378518,"Sideritis hirsuta Gouan, 1764",2927298,Stachys recta L.,3,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Stachys,2927228.0,Stachys recta,2927298.0,Not Evaluated
4251778,Hieracium pilosella subsp. tricholepium Nägeli & Peter,3122946,Pilosella ×tricholepia (Nägeli & Peter) Dostál,144,SUBSPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Pilosella,8179194.0,Pilosella tricholepia,3122946.0,
3002461,Rosa canina L.,3002461,Rosa canina L.,108,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rosa,8395064.0,Rosa canina,3002461.0,Not Evaluated
2747328,Crocus nevadensis Amo & Campo,2747328,Crocus nevadensis Amo & Campo,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Iridaceae,7698,Crocus,2747303.0,Crocus nevadensis,2747328.0,Least Concern
3120786,Artemisia barrelieri Besser,3120786,Artemisia barrelieri Besser,13,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Artemisia,3120641.0,Artemisia barrelieri,3120786.0,Not Evaluated
5611658,Cytisus scoparius subsp. reverchonii (Degen & Hervier) Rivas Goday & Rivas Mart.,5611658,Cytisus scoparius subsp. reverchonii (Degen & Hervier) Rivas Goday & Rivas Mart.,36,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Cytisus,8089532.0,Cytisus scoparius,5354656.0,
2977757,Erinacea anthyllis Link,2977757,Erinacea anthyllis Link,79,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Erinacea,2977754.0,Erinacea anthyllis,2977757.0,Not Evaluated
5529030,Paronychia suffruticosa (L.) DC.,5529030,Paronychia suffruticosa (L.) DC.,108,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Paronychia,8020237.0,Paronychia suffruticosa,5529030.0,Not Evaluated
2952882,Bituminaria bituminosa (L.) C.H.Stirt.,2952882,Bituminaria bituminosa (L.) C.H.Stirt.,9,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Bituminaria,2952881.0,Bituminaria bituminosa,2952882.0,Not Evaluated
7597782,"Juncus inflexus With., 1776",7597782,"Juncus inflexus With., 1776",2,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Juncaceae,5353,Juncus,2701072.0,Juncus inflexus,7597782.0,Not Evaluated
3895815,Teucrium lerrouxii Sennen,3898475,Teucrium aureum subsp. turdetanum Devesa & Valdés Berm.,5,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Teucrium,2926895.0,Teucrium aureum,7308731.0,Not Evaluated
7956124,Sorbus aria Wimm. ex Nyman,7956124,Sorbus aria Wimm. ex Nyman,13,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Sorbus,3012146.0,Sorbus aria,7956124.0,Not Evaluated
6439389,Chaenorhinum minus subsp. minus,6439389,Chaenorhinum minus subsp. minus,2,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Chaenorhinum,3171668.0,Chaenorhinum minus,3171669.0,
7267966,Arenaria armerina subsp. armerina,7267966,Arenaria armerina subsp. armerina,13,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Arenaria,7937950.0,Arenaria armerina,7267965.0,
5356701,Lathyrus pratensis L.,5356701,Lathyrus pratensis L.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Lathyrus,10356062.0,Lathyrus pratensis,5356701.0,Least Concern
3022502,Prunus dulcis (Mill.) D.A.Webb,3022502,Prunus dulcis (Mill.) D.A.Webb,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Prunus,3020559.0,Prunus dulcis,3022502.0,Not Evaluated
3892431,Teucrium webbianum Boiss.,3892431,Teucrium webbianum Boiss.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Teucrium,2926895.0,Teucrium webbianum,3892431.0,Not Evaluated
7385922,Crepis albida Bory & Chaub.,8058560,Crepis incana Sibth. & Sm.,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Crepis,3143303.0,Crepis incana,8058560.0,Not Evaluated
4148798,Avenula bromoides subsp. pauneroi Romero Zarco,7468852,Helictochloa bromoides subsp. pauneroi (Romero Zarco) Romero Zarco,74,SUBSPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Helictochloa,9459144.0,Helictochloa bromoides,6559940.0,
5598572,Lonicera splendida Boiss.,5598572,Lonicera splendida Boiss.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Dipsacales,946,Caprifoliaceae,6710,Lonicera,2888645.0,Lonicera splendida,5598572.0,Not Evaluated
3105391,Carlina corymbosa L.,3105391,Carlina corymbosa L.,91,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Carlina,3105349.0,Carlina corymbosa,3105391.0,Not Evaluated
3048479,Erysimum baeticum (Heywood) Polatschek,3048479,Erysimum baeticum (Heywood) Polatschek,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Erysimum,3048056.0,Erysimum baeticum,3048479.0,Not Evaluated
3066236,Euphorbia nevadensis Boiss. & Reut.,3066236,Euphorbia nevadensis Boiss. & Reut.,12,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Euphorbiaceae,4691,Euphorbia,11397237.0,Euphorbia nevadensis,3066236.0,Least Concern
3595595,Fumana ericifolia Wallr.,3595595,Fumana ericifolia Wallr.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Fumana,7331269.0,Fumana ericifolia,3595595.0,Not Evaluated
3189486,Hypericum perforatum L.,3189486,Hypericum perforatum L.,18,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Hypericaceae,4900406,Hypericum,3189452.0,Hypericum perforatum,3189486.0,Not Evaluated
7331286,Halimium atriplicifolium (Lam.) Spach,7331286,Halimium atriplicifolium (Lam.) Spach,21,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Halimium,6437972.0,Halimium atriplicifolium,7331286.0,Not Evaluated
3128025,Centaurea ornata Willd.,3128025,Centaurea ornata Willd.,29,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Centaurea,3127469.0,Centaurea ornata,3128025.0,Not Evaluated
8196507,Pinus nigra Aiton,5284802,Picea mariana (Mill.) Britton et al.,103,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Pinaceae,3925,Picea,7606064.0,Picea mariana,5284802.0,Not Evaluated
5372513,Salix alba L.,5372513,Salix alba L.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Salicaceae,6664,Salix,3039576.0,Salix alba,5372513.0,Least Concern
3034426,Eryngium campestre L.,3034426,Eryngium campestre L.,128,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Eryngium,3034387.0,Eryngium campestre,3034426.0,Not Evaluated
7477337,Pimpinella tragium subsp. lithophila (Schischk.) Tutin,7477337,Pimpinella tragium subsp. lithophila (Schischk.) Tutin,2,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Pimpinella,3034784.0,Pimpinella tragium,6026779.0,
2878826,Quercus pyrenaica Willd.,2878826,Quercus pyrenaica Willd.,41,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fagales,1354,Fagaceae,4689,Quercus,2877951.0,Quercus pyrenaica,2878826.0,Least Concern
2892953,Putoria calabrica (L.f.) DC.,3846360,Plocama calabrica (L.f.) M.Backlund & Thulin,9,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Plocama,2904110.0,Plocama calabrica,3846360.0,Not Evaluated
4124641,Festuca elegans Boiss.,4124641,Festuca elegans Boiss.,56,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Festuca,2704913.0,Festuca elegans,4124641.0,Not Evaluated
4151693,Koeleria crassipes Lange,4151693,Koeleria crassipes Lange,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Koeleria,2705912.0,Koeleria crassipes,4151693.0,Not Evaluated
3640194,Ridolfia segetum (L.) Moris,3640194,Ridolfia segetum (L.) Moris,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Ridolfia,6027217.0,Ridolfia segetum,3640194.0,Not Evaluated
8625614,Lactuca viminea (L.) J.Presl & C.Presl,8625614,Lactuca viminea (L.) J.Presl & C.Presl,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Lactuca,3140231.0,Lactuca viminea,8625614.0,Not Evaluated
3113729,Cirsium odontolepis Boiss. ex DC.,3113729,Cirsium odontolepis Boiss. ex DC.,12,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Cirsium,3112554.0,Cirsium odontolepis,3113729.0,Not Evaluated
7311306,Daphne gnidium L.,7311306,Daphne gnidium L.,27,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Thymelaeaceae,2428,Daphne,3188453.0,Daphne gnidium,7311306.0,Not Evaluated
2768995,Asparagus acutifolius L.,2768995,Asparagus acutifolius L.,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Asparagus,9527393.0,Asparagus acutifolius,2768995.0,Least Concern
5672783,Elymus hispanicus (Boiss.) Talavera,4107443,Elymus panormitanus (Parl.) Tzvelev,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Elymus,10465436.0,Elymus panormitanus,4107443.0,Not Evaluated
7960979,Urtica dioica L.,7960979,Urtica dioica L.,9,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Urticaceae,6639,Urtica,2984391.0,Urtica dioica,7960979.0,Least Concern
9624496,Allium L.,9624496,Allium L.,4,GENUS,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Amaryllidaceae,7682,Allium,9624496.0,,,
5352251,Robinia pseudoacacia L.,5352251,Robinia pseudoacacia L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Robinia,2952066.0,Robinia pseudoacacia,5352251.0,Least Concern
7331278,Fumana thymifolia (L.) Spach,7331278,Fumana thymifolia (L.) Spach,36,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Fumana,7331269.0,Fumana thymifolia,7331278.0,Not Evaluated
3127494,Centaurea monticola Boiss. ex DC.,3127494,Centaurea monticola Boiss. ex DC.,12,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Centaurea,3127469.0,Centaurea monticola,3127494.0,Not Evaluated
8208358,Plantago lanceolata L.,8208358,Plantago lanceolata L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Plantago,3189695.0,Plantago lanceolata,8208358.0,Not Evaluated
2996929,Rubus ulmifolius Schott,2996929,Rubus ulmifolius Schott,40,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rubus,2988638.0,Rubus ulmifolius,2996929.0,Not Evaluated
8185944,Rosa sicula Tratt.,3003781,Rosa pulverulenta M.Bieb.,38,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rosa,8395064.0,Rosa pulverulenta,3003781.0,Not Evaluated
7695794,Crepis oporinoides Boiss.,7695794,Crepis oporinoides Boiss.,1,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Crepis,3143303.0,Crepis oporinoides,7695794.0,Not Evaluated
2701311,Juncus effusus L.,2701311,Juncus effusus L.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Juncaceae,5353,Juncus,2701072.0,Juncus effusus,2701311.0,Least Concern
5354590,Cytisus grandiflorus DC.,5354590,Cytisus grandiflorus DC.,7,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Cytisus,8089532.0,Cytisus grandiflorus,5354590.0,Not Evaluated
6370689,Capparis spinosa L.,6370689,Capparis spinosa L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Capparis,3054191.0,Capparis spinosa,6370689.0,Least Concern
7307347,Thymus granatensis subsp. granatensis,7307347,Thymus granatensis subsp. granatensis,2,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Thymus,2926960.0,Thymus granatensis,7307346.0,
3046765,Sisymbrium erysimoides Desf.,3046765,Sisymbrium erysimoides Desf.,6,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Brassicaceae,3112,Sisymbrium,3046735.0,Sisymbrium erysimoides,3046765.0,Not Evaluated
3887383,Phlomis lychnitis L.,3887383,Phlomis lychnitis L.,8,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Phlomis,2927450.0,Phlomis lychnitis,3887383.0,Not Evaluated
7388758,Celtis australis A.Rich.,4159612,Celtis adolfi-friderici Engl.,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Cannabaceae,2384,Celtis,2984479.0,Celtis adolfi-friderici,4159612.0,Not Evaluated
7793938,Thymus zygis L.,7793938,Thymus zygis L.,24,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Thymus,2926960.0,Thymus zygis,7793938.0,Not Evaluated
5352466,Anthyllis cytisoides L.,5352466,Anthyllis cytisoides L.,14,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Anthyllis,2952416.0,Anthyllis cytisoides,5352466.0,Not Evaluated
2723055,Carex halleriana Asso,2723055,Carex halleriana Asso,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893.0,Carex halleriana,2723055.0,Not Evaluated
3007783,Rosa corymbifera Borkh.,3007783,Rosa corymbifera Borkh.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Rosa,8395064.0,Rosa corymbifera,3007783.0,Not Evaluated
5348659,Coronilla juncea L.,5348659,Coronilla juncea L.,15,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Coronilla,2943640.0,Coronilla juncea,5348659.0,Not Evaluated
5290194,Corynephorus canescens (L.) P.Beauv.,5290194,Corynephorus canescens (L.) P.Beauv.,55,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Corynephorus,2706183.0,Corynephorus canescens,5290194.0,Not Evaluated
3144041,Xeranthemum inapertum (L.) Mill.,3144041,Xeranthemum inapertum (L.) Mill.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Xeranthemum,3144032.0,Xeranthemum inapertum,3144041.0,Not Evaluated
7929011,Juniperus communis Thunb.,7326375,Juniperus rigida var. rigida,27,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Cupressaceae,8144,Juniperus,2684359.0,Juniperus rigida,2684517.0,Not Evaluated
5605418,Thymus serpylloides subsp. gadorensis (Pau) Jalas,5605418,Thymus serpylloides subsp. gadorensis (Pau) Jalas,149,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Thymus,2926960.0,Thymus serpylloides,7306662.0,
3916495,Reseda complicata Bory,3916495,Reseda complicata Bory,14,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Resedaceae,3110,Reseda,3040250.0,Reseda complicata,3916495.0,Not Evaluated
5368537,Potentilla reuteri Boiss.,5368537,Potentilla reuteri Boiss.,6,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Potentilla,8079058.0,Potentilla reuteri,5368537.0,Not Evaluated
8223321,Juniperus oxycedrus Hochst.,8223321,Juniperus oxycedrus Hochst.,65,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Cupressaceae,8144,Juniperus,2684359.0,Juniperus oxycedrus,8223321.0,Not Evaluated
3811439,Cerastium gibraltaricum Boiss.,3811439,Cerastium gibraltaricum Boiss.,44,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Cerastium,2873815.0,Cerastium gibraltaricum,3811439.0,Not Evaluated
8409749,Anarrhinum bellidifolium Fenzl ex Jaub. & Spach,3742503,Anarrhinum forskaohlii subsp. abyssinicum (Jaub. & Spach) D.A.Sutton,3,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Anarrhinum,7333412.0,Anarrhinum forskaohlii,7333435.0,Not Evaluated
2892347,Rubia peregrina L.,2892347,Rubia peregrina L.,72,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Rubia,2892184.0,Rubia peregrina,2892347.0,Not Evaluated
9079676,"Pinus sylvestris Lour., 1790",9079676,"Pinus sylvestris Lour., 1790",242,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Pinaceae,3925,Pinus,2684241.0,Pinus sylvestris,9079676.0,Not Evaluated
3636202,Bupleurum spinosum Gouan & Ill.Observ.Bot.,3638805,Bupleurum fruticescens subsp. spinosum (Gouan) O.Bolòs & Vigo,27,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Bupleurum,3034551.0,Bupleurum fruticescens,6027094.0,Not Evaluated
7318448,Eryngium bourgatii Gouan,7318448,Eryngium bourgatii Gouan,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Eryngium,3034387.0,Eryngium bourgatii,7318448.0,Not Evaluated
3125943,Santolina elegans Boiss. ex DC.,3125943,Santolina elegans Boiss. ex DC.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Santolina,3125925.0,Santolina elegans,3125943.0,Vulnerable
5284702,Cedrus atlantica (Endl.) Manetti ex Carriere,5284702,Cedrus atlantica (Endl.) Manetti ex Carriere,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Pinaceae,3925,Cedrus,2685742.0,Cedrus atlantica,5284702.0,Endangered
